operation_date,operation_start_time_est,operation_close_time_est,settlement_date,preliminary_ann_pdf,preliminary_ann_xml,final_ann_pdf,final_ann_xml,results_pdf,results_xml,special_ann_pdf,operation_type,security_type,maturity_bucket,nbr_issues_accepted,total_par_amt_offered,par_amt_per_offer,max_par_amt_redeemed,max_nbr_offers,nbr_issues_eligible,total_par_amt_accepted
2026-04-15,01:40 PM,02:00 PM,2026-04-16,BBPA_20260415174000.pdf,BBPA_20260415174000.xml,BBA_20260415174000.pdf,BBA_20260415174000.xml,BBR_20260415174000.pdf,BBR_20260415174000.xml,null,Liquidity Support,Nominal Coupons,10Y to 20Y,2,18055000000.00,1000000.00,2000000000,9,37,2000000000.00
2026-04-09,01:40 PM,02:00 PM,2026-04-10,BBPA_20260409174000.pdf,BBPA_20260409174000.xml,BBA_20260409174000.pdf,BBA_20260409174000.xml,BBR_20260409174000.pdf,BBR_20260409174000.xml,null,Liquidity Support,Nominal Coupons,20Y to 30Y,3,36472000000.00,1000000.00,2000000000,9,35,2000000000.00
2026-04-01,01:40 PM,02:00 PM,2026-04-02,BBPA_20260401174000.pdf,BBPA_20260401174000.xml,BBA_20260401174000.pdf,BBA_20260401174000.xml,BBR_20260401174000.pdf,BBR_20260401174000.xml,null,Cash Management,Nominal Coupons,1Mo to 2Y,20,43113000000.00,1000000.00,15000000000,9,53,15000000000.00
2026-03-26,01:40 PM,02:00 PM,2026-03-27,BBPA_20260326174000.pdf,BBPA_20260326174000.xml,BBA_20260326174000.pdf,BBA_20260326174000.xml,BBR_20260326174000.pdf,BBR_20260326174000.xml,null,Liquidity Support,Nominal Coupons,10Y to 20Y,5,36047000000.00,1000000.00,2000000000,9,36,2000000000.00
2026-03-25,01:40 PM,02:00 PM,2026-03-26,BBPA_20260325174000.pdf,BBPA_20260325174000.xml,BBA_20260325174000.pdf,BBA_20260325174000.xml,BBR_20260325174000.pdf,BBR_20260325174000.xml,null,Liquidity Support,TIPS,10Y to 30Y,7,757000000.00,1000000.00,500000000,9,16,110000000.00
2026-03-19,01:40 PM,02:00 PM,2026-03-20,BBPA_20260319174000.pdf,BBPA_20260319174000.xml,BBA_20260319174000.pdf,BBA_20260319174000.xml,BBR_20260319174000.pdf,BBR_20260319174000.xml,null,Liquidity Support,Nominal Coupons,20Y to 30Y,5,36003000000.00,1000000.00,2000000000,9,35,205000000.00
2026-03-17,01:40 PM,02:00 PM,2026-03-18,BBPA_20260317174000.pdf,BBPA_20260317174000.xml,BBA_20260317174000.pdf,BBA_20260317174000.xml,BBR_20260317174000.pdf,BBR_20260317174000.xml,null,Cash Management,Nominal Coupons,1Mo to 2Y,21,33518000000.00,1000000.00,15000000000,9,47,15000000000.00
2026-03-12,01:40 PM,02:00 PM,2026-03-13,BBPA_20260312174000.pdf,BBPA_20260312174000.xml,BBA_20260312174000.pdf,BBA_20260312174000.xml,BBR_20260312174000.pdf,BBR_20260312174000.xml,null,Liquidity Support,Nominal Coupons,7Y to 10Y,3,3394000000.00,1000000.00,4000000000,9,10,55000000.00
2026-03-10,01:40 PM,02:00 PM,2026-03-11,BBPA_20260310174000.pdf,BBPA_20260310174000.xml,BBA_20260310174000.pdf,BBA_20260310174000.xml,BBR_20260310174000.pdf,BBR_20260310174000.xml,null,Cash Management,Nominal Coupons,1Mo to 2Y,24,40989000000.00,1000000.00,15000000000,9,52,14697000000.00
2026-03-05,01:40 PM,02:00 PM,2026-03-06,BBPA_20260305184000.pdf,BBPA_20260305184000.xml,BBA_20260305184000.pdf,BBA_20260305184000.xml,BBR_20260305184000.pdf,BBR_20260305184000.xml,null,Liquidity Support,Nominal Coupons,10Y to 20Y,2,17844000000.00,1000000.00,2000000000,9,37,2000000000.00
2026-03-04,01:40 PM,02:00 PM,2026-03-05,BBPA_20260304184000.pdf,BBPA_20260304184000.xml,BBA_20260304184000.pdf,BBA_20260304184000.xml,BBR_20260304184000.pdf,BBR_20260304184000.xml,null,Liquidity Support,Nominal Coupons,3Y to 5Y,12,10405000000.00,1000000.00,4000000000,9,48,2463000000.00
2026-03-02,01:40 PM,02:00 PM,2026-03-03,BBPA_20260302184000.pdf,BBPA_20260302184000.xml,BBA_20260302184000.pdf,BBA_20260302184000.xml,BBR_20260302184000.pdf,BBR_20260302184000.xml,BBSPL_20260302184000.pdf,Liquidity Support,Nominal Coupons,1Mo to 2Y,16,86000000.00,1000000.00,30000000,3,76,30000000.00
2026-02-25,01:40 PM,02:00 PM,2026-02-26,BBPA_20260225184000.pdf,BBPA_20260225184000.xml,BBA_20260225184000.pdf,BBA_20260225184000.xml,BBR_20260225184000.pdf,BBR_20260225184000.xml,null,Liquidity Support,TIPS,1Y to 10Y,12,2291000000.00,1000000.00,750000000,9,28,745000000.00
